@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
141,'2022/03/16 22:40:33:394',1,2.871767,2.871767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,'2022/03/16 22:40:33:406',1,2.845675,2.845675,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,'2022/03/16 22:40:33:407',1,2.845675,2.845675,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,'2022/03/16 22:40:33:416',1,2.324175,2.324175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,'2022/03/16 22:40:33:428',1,2.449222,2.449222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,'2022/03/16 22:40:33:439',1,2.602194,2.602194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,'2022/03/16 22:40:33:449',1,2.372154,2.372154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,'2022/03/16 22:40:33:463',1,2.315669,2.315669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149,'2022/03/16 22:40:33:488',1,2.707025,2.707025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,'2022/03/16 22:40:33:489',1,2.707025,2.707025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,'2022/03/16 22:40:33:489',1,2.707025,2.707025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152,'2022/03/16 22:40:33:501',1,2.690979,2.690979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,'2022/03/16 22:40:33:511',1,2.815803,2.815803,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,'2022/03/16 22:40:33:523',1,2.934757,2.934757,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,'2022/03/16 22:40:33:543',1,2.557619,2.557619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,'2022/03/16 22:40:33:544',1,2.557619,2.557619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,'2022/03/16 22:40:33:556',1,2.645367,2.645367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,'2022/03/16 22:40:33:556',1,2.645367,2.645367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,'2022/03/16 22:40:33:566',1,2.5993,2.5993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,'2022/03/16 22:40:33:577',1,1.918681,1.918681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,'2022/03/16 22:40:33:587',1,2.398772,2.398772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,'2022/03/16 22:40:33:596',1,2.534338,2.534338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,'2022/03/16 22:40:33:608',1,2.096312,2.096312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,'2022/03/16 22:40:33:619',1,2.231867,2.231867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,'2022/03/16 22:40:33:630',1,2.442204,2.442204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,'2022/03/16 22:40:33:641',1,2.656203,2.656203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
167,'2022/03/16 22:40:33:655',1,2.816348,2.816348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,'2022/03/16 22:40:33:679',1,2.644228,2.644228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,'2022/03/16 22:40:33:680',1,2.644228,2.644228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,'2022/03/16 22:40:33:681',1,2.644228,2.644228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,'2022/03/16 22:40:33:704',1,2.369262,2.369262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,'2022/03/16 22:40:33:704',1,2.369262,2.369262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,'2022/03/16 22:40:33:715',1,2.350568,2.350568,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,'2022/03/16 22:40:33:736',1,2.496264,2.496264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,'2022/03/16 22:40:33:736',1,2.496264,2.496264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,'2022/03/16 22:40:33:737',1,2.496264,2.496264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
177,'2022/03/16 22:40:33:747',1,2.287735,2.287735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178,'2022/03/16 22:40:33:757',1,2.384753,2.384753,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,'2022/03/16 22:40:33:768',1,2.390647,2.390647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,'2022/03/16 22:40:33:789',1,2.584543,2.584543,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,'2022/03/16 22:40:33:789',1,2.584543,2.584543,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,'2022/03/16 22:40:33:799',1,2.652053,2.652053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,'2022/03/16 22:40:33:809',1,2.815393,2.815393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,'2022/03/16 22:40:33:820',1,2.474434,2.474434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,'2022/03/16 22:40:33:831',1,2.324682,2.324682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,'2022/03/16 22:40:33:856',1,2.654918,2.654918,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,'2022/03/16 22:40:33:856',1,2.654918,2.654918,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,'2022/03/16 22:40:33:857',1,2.654918,2.654918,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,'2022/03/16 22:40:33:875',1,2.45807,2.45807,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,'2022/03/16 22:40:33:895',1,2.461113,2.461113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
191,'2022/03/16 22:40:33:895',1,2.461113,2.461113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,'2022/03/16 22:40:33:896',1,2.461113,2.461113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,'2022/03/16 22:40:33:906',1,1.952492,1.952492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,'2022/03/16 22:40:33:916',1,2.219531,2.219531,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,'2022/03/16 22:40:33:928',1,2.29395,2.29395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
196,'2022/03/16 22:40:33:939',1,2.197906,2.197906,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,'2022/03/16 22:40:33:949',1,2.174943,2.174943,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,'2022/03/16 22:40:33:960',1,2.289589,2.289589,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,'2022/03/16 22:40:33:970',1,2.753709,2.753709,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,'2022/03/16 22:40:33:981',1,2.38806,2.38806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,'2022/03/16 22:40:33:993',1,2.288583,2.288583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,'2022/03/16 22:40:34:010',1,2.632733,2.632733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,'2022/03/16 22:40:34:012',1,2.632733,2.632733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,'2022/03/16 22:40:34:027',1,2.726812,2.726812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,'2022/03/16 22:40:34:028',1,2.726812,2.726812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,'2022/03/16 22:40:34:044',1,2.543848,2.543848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207,'2022/03/16 22:40:34:045',1,2.543848,2.543848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208,'2022/03/16 22:40:34:055',1,2.593262,2.593262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
